,userID,bookmarkID,tagID,timestamp
0,8,1,1,1289255362000
1,8,2,1,1289255159000
2,8,7,1,1289238901000
3,8,7,6,1289238901000
4,8,7,7,1289238901000
5,8,8,1,1289238545000
6,8,8,8,1289238545000
7,8,8,9,1289238545000
8,8,9,1,1289237833000
9,8,9,10,1289237833000
10,8,10,1,1289237730000
11,8,10,11,1289237730000
12,8,11,1,1289237522000
13,8,11,12,1289237522000
14,8,11,13,1289237522000
15,8,14,1,1289236740000
16,8,14,15,1289236740000
17,8,14,16,1289236740000
18,8,14,17,1289236740000
19,8,14,18,1289236740000
20,8,15,1,1289236319000
21,8,15,19,1289236319000
22,8,16,1,1289231754000
23,8,16,5,1289231754000
24,8,17,1,1289231615000
25,8,17,20,1289231615000
26,8,18,1,1289231533000
27,8,18,21,1289231533000
28,8,19,1,1289231262000
29,8,19,22,1289231262000
30,8,20,1,1289231212000
31,8,20,23,1289231212000
32,8,22,1,1289230744000
33,8,22,10,1289230744000
34,8,22,25,1289230744000
35,8,24,1,1289229826000
36,8,24,27,1289229826000
37,8,25,1,1289229561000
38,8,25,28,1289229561000
39,8,26,1,1289228999000
40,8,26,29,1289228999000
41,8,27,1,1289227893000
42,8,27,30,1289227893000
43,8,30,1,1289183525000
44,8,30,33,1289183525000
45,8,32,1,1289183292000
46,8,32,35,1289183292000
47,8,33,1,1289183129000
48,8,33,36,1289183129000
49,8,34,1,1289183011000
50,8,34,37,1289183011000
51,8,35,1,1289182931000
52,8,35,38,1289182931000
53,8,36,1,1289182797000
54,8,36,39,1289182797000
55,8,37,1,1289182702000
56,8,37,40,1289182702000
57,8,38,1,1289182632000
58,8,38,41,1289182632000
59,8,41,43,1289153999000
60,8,42,43,1289152872000
61,8,43,44,1289152789000
62,8,44,45,1289087716000
63,8,45,46,1289086944000
64,8,46,47,1289086859000
65,8,48,49,1289086553000
66,8,48,50,1289086553000
67,8,48,51,1289086553000
68,8,48,52,1289086553000
69,8,52,57,1288904866000
70,8,53,51,1288896397000
71,8,53,58,1288896397000
72,8,53,59,1288896397000
73,8,53,60,1288896397000
74,8,53,61,1288896397000
75,8,58,2,1288882706000
76,8,58,66,1288882706000
77,8,59,56,1288882469000
78,8,60,2,1288882432000
79,8,60,67,1288882432000
80,8,61,1,1288882374000
81,8,61,68,1288882374000
82,8,62,69,1288882262000
83,8,63,70,1288882203000
84,8,64,71,1288879685000
85,8,65,71,1288879640000
86,8,68,45,1288630690000
87,8,68,76,1288630690000
88,8,68,77,1288630690000
89,8,71,44,1288466583000
90,8,72,45,1288466318000
91,8,72,79,1288466318000
92,8,73,24,1288466059000
93,8,73,56,1288466059000
94,8,73,80,1288466059000
95,8,74,24,1288465963000
96,8,74,81,1288465963000
97,8,74,82,1288465963000
98,8,74,83,1288465963000
99,8,75,45,1288439177000
100,8,75,76,1288439177000
101,8,75,84,1288439177000
102,8,76,45,1288403733000
103,8,76,76,1288403733000
104,8,78,45,1288400590000
105,8,78,76,1288400590000
106,8,78,86,1288400590000
107,8,78,87,1288400590000
108,8,79,45,1288399242000
109,8,79,88,1288399242000
110,8,79,89,1288399242000
111,8,79,90,1288399242000
112,8,79,91,1288399242000
113,8,79,92,1288399242000
114,8,79,93,1288399242000
115,8,80,45,1288398907000
116,8,80,88,1288398907000
117,8,80,94,1288398907000
118,8,80,95,1288398907000
119,8,81,96,1288397340000
120,8,81,97,1288397340000
121,8,82,68,1288397158000
122,8,82,98,1288397158000
123,8,82,99,1288397158000
124,8,82,100,1288397158000
125,8,83,2,1288397039000
126,8,83,101,1288397039000
127,8,83,102,1288397039000
128,8,84,2,1288396895000
129,8,84,103,1288396895000
130,8,85,104,1288388235000
131,8,85,105,1288388235000
132,8,87,2,1288387535000
133,8,87,25,1288387535000
134,8,87,82,1288387535000
135,8,87,108,1288387535000
136,8,88,2,1288387282000
137,8,88,25,1288387282000
138,8,88,66,1288387282000
139,8,88,82,1288387282000
140,8,88,106,1288387282000
141,8,89,82,1288373335000
142,8,89,109,1288373335000
143,8,90,24,1288372199000
144,8,91,24,1288372143000
145,8,92,24,1288372035000
146,8,93,24,1288371236000
147,8,93,25,1288371236000
148,8,93,66,1288371236000
149,8,94,2,1288371166000
150,8,96,111,1288368924000
151,8,98,112,1288291828000
152,8,99,113,1288291694000
153,32,103,119,1285500227000
154,32,103,120,1285500227000
155,32,103,121,1285500227000
156,32,103,122,1285500227000
157,32,103,123,1285500227000
158,32,103,124,1285500227000
159,32,105,126,1284640114000
160,32,105,127,1284640114000
161,32,106,101,1284518274000
162,32,106,127,1284518274000
163,32,106,128,1284518274000
164,32,108,130,1283166077000
165,32,109,131,1282736740000
166,32,111,115,1282489620000
167,32,111,117,1282489620000
168,32,111,135,1282489620000
169,32,111,136,1282489620000
170,32,111,137,1282489620000
171,32,112,115,1282312142000
172,32,112,117,1282312142000
173,32,112,132,1282312142000
174,32,112,138,1282312142000
175,32,113,115,1282291068000
176,32,113,117,1282291068000
177,32,113,139,1282291068000
178,57,119,145,1289240024000
179,57,119,146,1289240024000
180,57,120,147,1289239497000
181,57,124,148,1289209447000
182,57,125,122,1289199351000
183,57,125,149,1289199351000
184,57,125,150,1289199351000
185,57,126,151,1289154448000
186,57,127,140,1289153389000
187,57,129,140,1289057843000
188,57,133,140,1289048524000
189,57,135,141,1289046564000
190,57,135,142,1289046564000
191,57,136,140,1289033364000
192,57,138,150,1289031413000
193,57,138,155,1289031413000
194,57,138,156,1289031413000
195,57,139,140,1289030102000
196,57,139,143,1289030102000
197,57,140,143,1289030025000
198,57,140,149,1289030025000
199,57,149,147,1288981626000
200,57,153,147,1288956059000
201,57,155,157,1288940927000
202,57,155,158,1288940927000
203,57,156,159,1288937669000
204,57,157,160,1288894521000
205,57,157,161,1288894521000
206,57,163,140,1288893419000
207,57,164,140,1288893309000
208,57,166,146,1288886157000
209,57,166,153,1288886157000
210,57,167,162,1288877686000
211,57,167,163,1288877686000
212,57,168,16,1288877491000
213,57,168,164,1288877491000
214,57,169,140,1288871762000
215,57,170,152,1288850000000
216,57,170,165,1288850000000
217,57,175,166,1288809528000
218,57,177,147,1288806202000
219,57,182,156,1288795575000
220,57,183,156,1288795396000
221,57,183,168,1288795396000
222,57,184,156,1288795324000
223,57,184,168,1288795324000
224,57,184,169,1288795324000
225,57,189,97,1288719497000
226,57,189,170,1288719497000
227,57,191,147,1288633913000
228,57,192,140,1288615638000
229,57,192,171,1288615638000
230,57,197,140,1288446780000
231,57,197,171,1288446780000
232,57,205,140,1288346170000
233,57,206,153,1288285284000
234,57,210,140,1288271062000
235,57,211,141,1288267939000
236,57,211,142,1288267939000
237,57,211,144,1288267939000
238,147,212,78,1289310758000
239,147,212,158,1289310758000
240,147,212,173,1289310758000
241,147,212,174,1289310758000
242,147,212,175,1289310758000
243,147,212,176,1289310758000
244,147,212,177,1289310758000
245,147,213,178,1289307073000
246,147,213,179,1289307073000
247,147,213,180,1289307073000
248,147,215,76,1289306875000
249,147,215,183,1289306875000
250,147,215,184,1289306875000
251,147,215,185,1289306875000
252,147,215,186,1289306875000
253,147,215,187,1289306875000
254,147,217,22,1289306805000
255,147,217,143,1289306805000
256,147,217,191,1289306805000
257,147,217,192,1289306805000
